category	subject_prefix	predicate	object_prefix	count_star()
biolink:PairwiseGeneToGeneInteraction	NCBIGene	biolink:interacts_with	NCBIGene	2561605
biolink:PairwiseGeneToGeneInteraction	NCBIGene	biolink:interacts_with	UniProtKB	14
biolink:PairwiseGeneToGeneInteraction	NCBIGene	biolink:interacts_with	biogrid	52
biolink:PairwiseGeneToGeneInteraction	UniProtKB	biolink:interacts_with	NCBIGene	1557
biolink:PairwiseGeneToGeneInteraction	UniProtKB	biolink:interacts_with	UniProtKB	11
